'BAU', 'BAU*', 'BAU...', 'Powiat augustowski', 'Województwo podlaskie');
'KR', 'KR[0-9]*', 'KR...', 'Kraków', 'Województwo małopolskie');
'KRA', 'KRA*', 'KRA...', 'Powiat krakowski', 'Województwo małopolskie');
'KSU', 'KSU*', 'KSU...', 'Powiat suski', 'Województwo małopolskie');
'KT', 'KT[0-9]*', 'KT...', 'Tarnów', 'Województwo małopolskie');
'KTA', 'KTA*', 'KTA...', 'Powiat tarnowski', 'Województwo małopolskie');
'KTT', 'KTT*', 'KTT...', 'Powiat tatrzański', 'Województwo małopolskie');
'KWA', 'KWA*', 'KWA...', 'Powiat wadowicki', 'Województwo małopolskie');
'KWI', 'KWI*', 'KWI...', 'Powiat wielicki', 'Województwo małopolskie');
'LB', 'LB[0-9]*', 'LB...', 'Biała Podlaska', 'Województwo lubelskie');
'LBI', 'LBI*', 'LBI...', 'Powiat bialski', 'Województwo lubelskie');
'LBL', 'LBL*', 'LBL...', 'Powiat biłgorajski', 'Województwo lubelskie');
'LC', 'LC[0-9]*', 'LC...', 'Chełm', 'Województwo lubelskie');
'LCH', 'LCH*', 'LCH...', 'Powiat chełmski', 'Województwo lubelskie');
'LHR', 'LHR*', 'LHR...', 'Powiat hrubieszowski', 'Województwo lubelskie');
'LJA', 'LJA*', 'LJA...', 'Powiat janowski', 'Województwo lubelskie');
'LKR', 'LKR*', 'LKR...', 'Powiat kraśnicki', 'Województwo lubelskie');
'LKS', 'LKS*', 'LKS...', 'Powiat krasnostawski', 'Województwo lubelskie');
'LLB', 'LLB*', 'LLB...', 'Powiat lubartowski', 'Województwo lubelskie');
'LLE', 'LLE*', 'LLE...', 'Powiat łęczyński', 'Województwo lubelskie');
'LLU', 'LLU*', 'LLU...', 'Powiat łukowski', 'Województwo lubelskie');
'LOP', 'LOP*', 'LOP...', 'Powiat opolski', 'Województwo lubelskie');
'LPA', 'LPA*', 'LPA...', 'Powiat parczewski', 'Województwo lubelskie');
'LPU', 'LPU*', 'LPU...', 'Powiat puławski', 'Województwo lubelskie');
'LRA', 'LRA*', 'LRA...', 'Powiat radzyński', 'Województwo lubelskie');
'LRY', 'LRY*', 'LRY...', 'Powiat rycki', 'Województwo lubelskie');
'LSW', 'LSW*', 'LSW...', 'Powiat świdnicki', 'Województwo lubelskie');
'LTM', 'LTM*', 'LTM...', 'Powiat tomaszowski', 'Województwo lubelskie');
'LU', 'LU[0-9]*', 'LU...', 'Lublin', 'Województwo lubelskie');
'LUB', 'LUB*', 'LUB...', 'Powiat lubelski', 'Województwo lubelskie');
'LWL', 'LWL*', 'LWL...', 'Powiat włodawski', 'Województwo lubelskie');
'LZ', 'LZ[0-9]*', 'LZ...', 'Zamość', 'Województwo lubelskie');
'LZA', 'LZA*', 'LZA...', 'Powiat zamojski', 'Województwo lubelskie');
'NBA', 'NBA*', 'NBA...', 'Powiat bartoszycki', 'Województwo warmińsko-mazurskie');
'NBR', 'NBR*', 'NBR...', 'Powiat braniewski', 'Województwo warmińsko-mazurskie');
'NDZ', 'NDZ*', 'NDZ...', 'Powiat działdowski', 'Województwo warmińsko-mazurskie');
'NE', 'NE[0-9]*', 'NE...', 'Elbląg', 'Województwo warmińsko-mazurskie');
'NEB', 'NEB*', 'NEB...', 'Powiat elbląski', 'Województwo warmińsko-mazurskie');
'NEL', 'NEL*', 'NEL...', 'Powiat ełcki', 'Województwo warmińsko-mazurskie');
'NGI', 'NGI*', 'NGI...', 'Powiat giżycki', 'Województwo warmińsko-mazurskie');
'NGO', 'NGO*', 'NGO...', 'Powiat gołdapski', 'Województwo warmińsko-mazurskie');
'NIL', 'NIL*', 'NIL...', 'Powiat iławski', 'Województwo warmińsko-mazurskie');
'NKE', 'NKE*', 'NKE...', 'Powiat kętrzyński', 'Województwo warmińsko-mazurskie');
'NLI', 'NLI*', 'NLI...', 'Powiat lidzbarski', 'Województwo warmińsko-mazurskie');
'NMR', 'NMR*', 'NMR...', 'Powiat mrągowski', 'Województwo warmińsko-mazurskie');
'NNI', 'NNI*', 'NNI...', 'Powiat nidzicki', 'Województwo warmińsko-mazurskie');
'NNM', 'NNM*', 'NNM...', 'Powiat nowomiejski', 'Województwo warmińsko-mazurskie');
'NO', 'NO[0-9]*', 'NO...', 'Olsztyn', 'Województwo warmińsko-mazurskie');
'NOE', 'NOE*', 'NOE...', 'Powiat olecki', 'Województwo warmińsko-mazurskie');
'NOG', 'NOG*', 'NOG...', 'Powiat olecko-gołdapski', 'Województwo warmińsko-mazurskie');
'NOL', 'NOL*', 'NOL...', 'Powiat olsztyński', 'Województwo warmińsko-mazurskie');
'NOS', 'NOS*', 'NOS...', 'Powiat ostródzki', 'Województwo warmińsko-mazurskie');
'NPI', 'NPI*', 'NPI...', 'Powiat piski', 'Województwo warmińsko-mazurskie');
'NSZ', 'NSZ*', 'NSZ...', 'Powiat szczycieński', 'Województwo warmińsko-mazurskie');
'NWE', 'NWE*', 'NWE...', 'Powiat węgorzewski', 'Województwo warmińsko-mazurskie');
'OB', 'OB[0-9]*', 'OB...', 'Powiat brzeski', 'Województwo opolskie');
'OGL', 'OGL*', 'OGL...', 'Powiat głubczycki', 'Województwo opolskie');
'OK', 'OK[0-9]*', 'OK...', 'Powiat kędzierzyńsko-kozielski', 'Województwo opolskie');
'OKL', 'OKL*', 'OKL...', 'Powiat kluczborski', 'Województwo opolskie');
'OKR', 'OKR*', 'OKR...', 'Powiat krapkowicki', 'Województwo opolskie');
'ONA', 'ONA*', 'ONA...', 'Powiat namysłowski', 'Województwo opolskie');
'ONY', 'ONY*', 'ONY...', 'Powiat nyski', 'Województwo opolskie');
'OOL', 'OOL*', 'OOL...', 'Powiat oleski', 'Województwo opolskie');
'OP', 'OP[0-9]*', 'OP...', 'Opole', 'Województwo opolskie');
'OPO', 'OPO*', 'OPO...', 'Powiat opolski', 'Województwo opolskie');
'OPR', 'OPR*', 'OPR...', 'Powiat prudnicki', 'Województwo opolskie');
'OST', 'OST*', 'OST...', 'Powiat strzelecki', 'Województwo opolskie');
'PCH', 'PCH*', 'PCH...', 'Powiat chodzieski', 'Województwo wielkopolskie');
'PCT', 'PCT*', 'PCT...', 'Powiat czarnkowsko-trzcianecki', 'Województwo wielkopolskie');
'PGN', 'PGN*', 'PGN...', 'Powiat gnieźnieński', 'Województwo wielkopolskie');
'PGO', 'PGO*', 'PGO...', 'Powiat grodziski', 'Województwo wielkopolskie');
'PGS', 'PGS*', 'PGS...', 'Powiat gostyński', 'Województwo wielkopolskie');
'PJA', 'PJA*', 'PJA...', 'Powiat jarociński', 'Województwo wielkopolskie');
'PK', 'PK[0-9]*', 'PK...', 'Kalisz', 'Województwo wielkopolskie');
'PKA', 'PKA*', 'PKA...', 'Powiat kaliski', 'Województwo wielkopolskie');
'PKE', 'PKE*', 'PKE...', 'Powiat kępiński', 'Województwo wielkopolskie');
'PKL', 'PKL*', 'PKL...', 'Powiat kolski', 'Województwo wielkopolskie');
'PKN', 'PKN*', 'PKN...', 'Powiat koniński', 'Województwo wielkopolskie');
'PKO', 'PKO*', 'PKO...', 'Konin', 'Województwo wielkopolskie');
'PKR', 'PKR*', 'PKR...', 'Powiat krotoszyński', 'Województwo wielkopolskie');
'PKS', 'PKS*', 'PKS...', 'Powiat kościański', 'Województwo wielkopolskie');
'PL', 'PL[0-9]*', 'PL...', 'Leszno', 'Województwo wielkopolskie');
'PLE', 'PLE*', 'PLE...', 'Powiat leszczyński', 'Województwo wielkopolskie');
'PMI', 'PMI*', 'PMI...', 'Powiat międzychodzki', 'Województwo wielkopolskie');
'PN', 'PN[0-9]*', 'PN...', 'Konin', 'Województwo wielkopolskie');
'PNT', 'PNT*', 'PNT...', 'Powiat nowotomyski', 'Województwo wielkopolskie');
'PO', 'PO[0-9]*', 'PO...', 'Poznań', 'Województwo wielkopolskie');
'POB', 'POB*', 'POB...', 'Powiat obornicki', 'Województwo wielkopolskie');
'POS', 'POS*', 'POS...', 'Powiat ostrowski', 'Województwo wielkopolskie');
'POT', 'POT*', 'POT...', 'Powiat ostrzeszowski', 'Województwo wielkopolskie');
'POZ', 'POZ*', 'POZ...', 'Powiat poznański', 'Województwo wielkopolskie');
'PP', 'PP[0-9]*', 'PP...', 'Powiat pilski', 'Województwo wielkopolskie');
'PPL', 'PPL*', 'PPL...', 'Powiat pleszewski', 'Województwo wielkopolskie');
'PRA', 'PRA*', 'PRA...', 'Powiat rawicki', 'Województwo wielkopolskie');
'PSE', 'PSE*', 'PSE...', 'Powiat śremski', 'Województwo wielkopolskie');
'PSL', 'PSL*', 'PSL...', 'Powiat słupecki', 'Województwo wielkopolskie');
'PSR', 'PSR*', 'PSR...', 'Powiat średzki', 'Województwo wielkopolskie');
'PSZ', 'PSZ*', 'PSZ...', 'Powiat szamotulski', 'Województwo wielkopolskie');
'PTU', 'PTU*', 'PTU...', 'Powiat turecki', 'Województwo wielkopolskie');
'PWA', 'PWA*', 'PWA...', 'Powiat wągrowiecki', 'Województwo wielkopolskie');
'PWL', 'PWL*', 'PWL...', 'Powiat wolsztyński', 'Województwo wielkopolskie');
'PWR', 'PWR*', 'PWR...', 'Powiat wrzesiński', 'Województwo wielkopolskie');
'PZ', 'PZ[0-9]*', 'PZ...', 'Powiat poznański', 'Województwo wielkopolskie');
'PZL', 'PZL*', 'PZL...', 'Powiat złotowski', 'Województwo wielkopolskie');
'RBI', 'RBI*', 'RBI...', 'Powiat bieszczadzki', 'Województwo podkarpackie');
'RBR', 'RBR*', 'RBR...', 'Powiat brzozowski', 'Województwo podkarpackie');
'RDE', 'RDE*', 'RDE...', 'Powiat dębicki', 'Województwo podkarpackie');
'RJA', 'RJA*', 'RJA...', 'Powiat jarosławski', 'Województwo podkarpackie');
'RJS', 'RJS*', 'RJS...', 'Powiat jasielski', 'Województwo podkarpackie');
'RK', 'RK[0-9]*', 'RK...', 'Krosno', 'Województwo podkarpackie');
'RKL', 'RKL*', 'RKL...', 'Powiat kolbuszowski', 'Województwo podkarpackie');
'RKR', 'RKR*', 'RKR...', 'Powiat krośnieński', 'Województwo podkarpackie');
'RLA', 'RLA*', 'RLA...', 'Powiat łańcucki', 'Województwo podkarpackie');
'RLE', 'RLE*', 'RLE...', 'Powiat leżajski', 'Województwo podkarpackie');
'RLS', 'RLS*', 'RLS...', 'Powiat leski', 'Województwo podkarpackie');
'RLU', 'RLU*', 'RLU...', 'Powiat lubaczowski', 'Województwo podkarpackie');
'RMI', 'RMI*', 'RMI...', 'Powiat mielecki', 'Województwo podkarpackie');
'RNI', 'RNI*', 'RNI...', 'Powiat niżański', 'Województwo podkarpackie');
'RP', 'RP[0-9]*', 'RP...', 'Przemyśl', 'Województwo podkarpackie');
'RPR', 'RPR*', 'RPR...', 'Powiat przemyski', 'Województwo podkarpackie');
'RPZ', 'RPZ*', 'RPZ...', 'Powiat przeworski', 'Województwo podkarpackie');
'RRS', 'RRS*', 'RRS...', 'Powiat ropczycko-sędziszowski', 'Województwo podkarpackie');
'RSA', 'RSA*', 'RSA...', 'Powiat sanocki', 'Województwo podkarpackie');
'RSR', 'RSR*', 'RSR...', 'Powiat strzyżowski', 'Województwo podkarpackie');
'RST', 'RST*', 'RST...', 'Powiat stalowowolski', 'Województwo podkarpackie');
'RT', 'RT[0-9]*', 'RT...', 'Tarnobrzeg', 'Województwo podkarpackie');
'RTA', 'RTA*', 'RTA...', 'Powiat tarnobrzeski', 'Województwo podkarpackie');
'RZ', 'RZ[0-9]*', 'RZ...', 'Rzeszów', 'Województwo podkarpackie');
'RZE', 'RZE*', 'RZE...', 'Powiat rzeszowski', 'Województwo podkarpackie');
'SB', 'SB[0-9]*', 'SB...', 'Bielsko-Biała', 'Województwo śląskie');
'SBE', 'SBE*', 'SBE...', 'Powiat będziński', 'Województwo śląskie');
'SBI', 'SBI*', 'SBI...', 'Powiat bielski', 'Województwo śląskie');
'SBL', 'SBL*', 'SBL...', 'Powiat bieruńsko-lędziński', 'Województwo śląskie');
'SC', 'SC[0-9]*', 'SC...', 'Częstochowa', 'Województwo śląskie');
'SCI', 'SCI*', 'SCI...', 'Powiat cieszyński', 'Województwo śląskie');
'SCZ', 'SCZ*', 'SCZ...', 'Powiat częstochowski', 'Województwo śląskie');
'SD', 'SD[0-9]*', 'SD...', 'Dąbrowa Górnicza', 'Województwo śląskie');
'SG', 'SG[0-9]*', 'SG...', 'Gliwice', 'Województwo śląskie');
'SGL', 'SGL*', 'SGL...', 'Powiat gliwicki', 'Województwo śląskie');
'SH', 'SH[0-9]*', 'SH...', 'Chorzów', 'Województwo śląskie');
'SI', 'SI[0-9]*', 'SI...', 'Siemianowice Śląskie', 'Województwo śląskie');
'SJ', 'SJ[0-9]*', 'SJ...', 'Jaworzno', 'Województwo śląskie');
'SJZ', 'SJZ*', 'SJZ...', 'Jastrzębie-Zdrój', 'Województwo śląskie');
'SK', 'SK[0-9]*', 'SK...', 'Katowice', 'Województwo śląskie');
'SKL', 'SKL*', 'SKL...', 'Powiat kłobucki', 'Województwo śląskie');
'SL', 'SL[0-9]*', 'SL...', 'Ruda Śląska', 'Województwo śląskie');
'SLU', 'SLU*', 'SLU...', 'Powiat lubliniecki', 'Województwo śląskie');
'SM', 'SM[0-9]*', 'SM...', 'Mysłowice', 'Województwo śląskie');
'SMI', 'SMI*', 'SMI...', 'Powiat mikołowski', 'Województwo śląskie');
'SMY', 'SMY*', 'SMY...', 'Powiat myszkowski', 'Województwo śląskie');
'SO', 'SO[0-9]*', 'SO...', 'Sosnowiec', 'Województwo śląskie');
'SPI', 'SPI*', 'SPI...', 'Piekary Śląskie', 'Województwo śląskie');
'SPS', 'SPS*', 'SPS...', 'Powiat pszczyński', 'Województwo śląskie');
'SR', 'SR[0-9]*', 'SR...', 'Rybnik', 'Województwo śląskie');
'SRB', 'SRB*', 'SRB...', 'Powiat rybnicki', 'Województwo śląskie');
'SRC', 'SRC*', 'SRC...', 'Powiat raciborski', 'Województwo śląskie');
'SRS', 'SRS*', 'SRS...', 'Ruda Śląska', 'Województwo śląskie');
'ST', 'ST[0-9]*', 'ST...', 'Tychy', 'Województwo śląskie');
'STA', 'STA*', 'STA...', 'Powiat tarnogórski', 'Województwo śląskie');
'STY', 'STY*', 'STY...', 'Powiat powiat tyski', 'Województwo śląskie');
'SW', 'SW[0-9]*', 'SW...', 'Świętochłowice', 'Województwo śląskie');
'SWD', 'SWD*', 'SWD...', 'Powiat wodzisławski', 'Województwo śląskie');
'SY', 'SY[0-9]*', 'SY...', 'Bytom', 'Województwo śląskie');
'SZ', 'SZ[0-9]*', 'SZ...', 'Zabrze', 'Województwo śląskie');
'SZA', 'SZA*', 'SZA...', 'Powiat zawierciański', 'Województwo śląskie');
'SZO', 'SZO*', 'SZO...', 'Żory', 'Województwo śląskie');
'SZY', 'SZY*', 'SZY...', 'Powiat żywiecki', 'Województwo śląskie');
'TBU', 'TBU*', 'TBU...', 'Powiat buski', 'Województwo świętokrzyskie');
'TJE', 'TJE*', 'TJE...', 'Powiat jędrzejowski', 'Województwo świętokrzyskie');
